X,Y,Z,R,G,B
10.6574,-0.6999,44.2736,255.0000,0.0000,0.0000
10.7151,-0.6981,44.1628,255.0000,0.0000,0.0000
10.7823,-0.6970,44.0929,255.0000,0.0000,0.0000
10.8429,-0.6955,43.9973,255.0000,0.0000,0.0000
10.9210,-0.6952,43.9736,255.0000,0.0000,0.0000
11.0031,-0.6950,43.9661,255.0000,0.0000,0.0000
11.0822,-0.6947,43.9468,255.0000,0.0000,0.0000
11.1512,-0.6938,43.8882,255.0000,0.0000,0.0000
11.2086,-0.6922,43.7851,255.0000,0.0000,0.0000
11.2831,-0.6916,43.7499,255.0000,0.0000,0.0000
11.3630,-0.6914,43.7358,255.0000,0.0000,0.0000
11.4361,-0.6908,43.6960,255.0000,0.0000,0.0000
11.5154,-0.6905,43.6805,255.0000,0.0000,0.0000
11.6064,-0.6910,43.7090,255.0000,0.0000,0.0000
11.7309,-0.6934,43.8624,255.0000,0.0000,0.0000
11.9114,-0.6991,44.2215,255.0000,0.0000,0.0000
10.6352,-0.7890,44.5344,255.0000,0.0000,0.0000
10.6677,-0.7852,44.3166,255.0000,0.0000,0.0000
10.7278,-0.7834,44.2155,255.0000,0.0000,0.0000
10.7998,-0.7825,44.1644,255.0000,0.0000,0.0000
10.8674,-0.7813,44.0965,255.0000,0.0000,0.0000
10.9303,-0.7798,44.0107,255.0000,0.0000,0.0000
10.9990,-0.7787,43.9496,255.0000,0.0000,0.0000
11.0699,-0.7778,43.8981,255.0000,0.0000,0.0000
11.1393,-0.7768,43.8412,255.0000,0.0000,0.0000
11.2056,-0.7756,43.7731,255.0000,0.0000,0.0000
11.2847,-0.7753,43.7561,255.0000,0.0000,0.0000
11.3674,-0.7752,43.7528,255.0000,0.0000,0.0000
11.4440,-0.7747,43.7261,255.0000,0.0000,0.0000
11.5211,-0.7743,43.7019,255.0000,0.0000,0.0000
11.6120,-0.7748,43.7301,255.0000,0.0000,0.0000
11.7322,-0.7772,43.8674,255.0000,0.0000,0.0000
11.8976,-0.7826,44.1702,255.0000,0.0000,0.0000
10.5294,-0.8724,44.4470,255.0000,0.0000,0.0000
10.5578,-0.8677,44.2105,255.0000,0.0000,0.0000
10.6190,-0.8658,44.1141,255.0000,0.0000,0.0000
10.6952,-0.8652,44.0810,255.0000,0.0000,0.0000
10.7761,-0.8649,44.0678,255.0000,0.0000,0.0000
10.8512,-0.8642,44.0311,255.0000,0.0000,0.0000
10.9148,-0.8626,43.9484,255.0000,0.0000,0.0000
10.9804,-0.8611,43.8754,255.0000,0.0000,0.0000
11.0493,-0.8600,43.8165,255.0000,0.0000,0.0000
11.1227,-0.8592,43.7760,255.0000,0.0000,0.0000
11.1977,-0.8585,43.7426,255.0000,0.0000,0.0000
11.2785,-0.8583,43.7317,255.0000,0.0000,0.0000
11.3586,-0.8581,43.7188,255.0000,0.0000,0.0000
11.4316,-0.8573,43.6789,255.0000,0.0000,0.0000
11.5181,-0.8575,43.6904,255.0000,0.0000,0.0000
11.6175,-0.8587,43.7509,255.0000,0.0000,0.0000
11.7173,-0.8599,43.8117,255.0000,0.0000,0.0000
11.8044,-0.8601,43.8244,255.0000,0.0000,0.0000
10.5013,-0.9547,44.3283,255.0000,0.0000,0.0000
10.5352,-0.9501,44.1157,255.0000,0.0000,0.0000
10.6090,-0.9492,44.0723,255.0000,0.0000,0.0000
10.6916,-0.9490,44.0660,255.0000,0.0000,0.0000
10.7724,-0.9487,44.0524,255.0000,0.0000,0.0000
10.8404,-0.9473,43.9871,255.0000,0.0000,0.0000
10.9003,-0.9452,43.8899,255.0000,0.0000,0.0000
10.9653,-0.9436,43.8151,255.0000,0.0000,0.0000
11.0356,-0.9425,43.7618,255.0000,0.0000,0.0000
11.1108,-0.9418,43.7292,255.0000,0.0000,0.0000
11.1866,-0.9411,43.6990,255.0000,0.0000,0.0000
11.2633,-0.9406,43.6731,255.0000,0.0000,0.0000
11.3383,-0.9399,43.6406,255.0000,0.0000,0.0000
11.4085,-0.9388,43.5905,255.0000,0.0000,0.0000
11.5062,-0.9400,43.6455,255.0000,0.0000,0.0000
11.6155,-0.9421,43.7432,255.0000,0.0000,0.0000
11.7155,-0.9434,43.8050,255.0000,0.0000,0.0000
10.5142,-1.0323,44.0277,255.0000,0.0000,0.0000
10.6140,-1.0338,44.0933,255.0000,0.0000,0.0000
10.6933,-1.0333,44.0732,255.0000,0.0000,0.0000
10.7601,-1.0317,44.0023,255.0000,0.0000,0.0000
10.8228,-1.0296,43.9156,255.0000,0.0000,0.0000
10.8801,-1.0271,43.8089,255.0000,0.0000,0.0000
10.9448,-1.0254,43.7331,255.0000,0.0000,0.0000
11.0155,-1.0242,43.6824,255.0000,0.0000,0.0000
11.0909,-1.0234,43.6509,255.0000,0.0000,0.0000
11.1663,-1.0227,43.6199,255.0000,0.0000,0.0000
11.2402,-1.0218,43.5833,255.0000,0.0000,0.0000
11.3115,-1.0208,43.5374,255.0000,0.0000,0.0000
11.3792,-1.0194,43.4787,255.0000,0.0000,0.0000
11.4719,-1.0203,43.5154,255.0000,0.0000,0.0000
11.5737,-1.0219,43.5858,255.0000,0.0000,0.0000
11.6824,-1.0241,43.6810,255.0000,0.0000,0.0000
10.5808,-1.1145,43.9554,255.0000,0.0000,0.0000
10.6622,-1.1142,43.9448,255.0000,0.0000,0.0000
10.7235,-1.1119,43.8524,255.0000,0.0000,0.0000
10.7808,-1.1092,43.7453,255.0000,0.0000,0.0000
10.8397,-1.1067,43.6461,255.0000,0.0000,0.0000
10.9082,-1.1051,43.5867,255.0000,0.0000,0.0000
10.9818,-1.1042,43.5485,255.0000,0.0000,0.0000
11.0558,-1.1033,43.5128,255.0000,0.0000,0.0000
11.1291,-1.1023,43.4744,255.0000,0.0000,0.0000
11.1985,-1.1010,43.4218,255.0000,0.0000,0.0000
11.2640,-1.0993,43.3546,255.0000,0.0000,0.0000
11.3252,-1.0972,43.2724,255.0000,0.0000,0.0000
11.3965,-1.0961,43.2291,255.0000,0.0000,0.0000
11.4700,-1.0952,43.1951,255.0000,0.0000,0.0000
11.5543,-1.0954,43.2021,255.0000,0.0000,0.0000
11.6582,-1.0974,43.2817,255.0000,0.0000,0.0000
10.8544,-1.1825,43.3720,255.0000,0.0000,0.0000
10.9322,-1.1820,43.3521,255.0000,0.0000,0.0000
11.0036,-1.1808,43.3074,255.0000,0.0000,0.0000
11.0707,-1.1791,43.2463,255.0000,0.0000,0.0000
11.1331,-1.1770,43.1681,255.0000,0.0000,0.0000
11.1910,-1.1744,43.0736,255.0000,0.0000,0.0000
11.2445,-1.1714,42.9637,255.0000,0.0000,0.0000
11.2894,-1.1676,42.8232,255.0000,0.0000,0.0000
11.3281,-1.1631,42.6609,255.0000,0.0000,0.0000
11.3717,-1.1593,42.5193,255.0000,0.0000,0.0000
11.4318,-1.1571,42.4410,255.0000,0.0000,0.0000
11.4846,-1.1543,42.3368,255.0000,0.0000,0.0000
10.7753,-1.2561,43.0559,255.0000,0.0000,0.0000
10.8544,-1.2557,43.0433,255.0000,0.0000,0.0000
10.9219,-1.2541,42.9858,255.0000,0.0000,0.0000
10.9686,-1.2500,42.8474,255.0000,0.0000,0.0000
11.0159,-1.2461,42.7138,255.0000,0.0000,0.0000
11.0663,-1.2426,42.5937,255.0000,0.0000,0.0000
11.1219,-1.2398,42.4956,255.0000,0.0000,0.0000
11.1820,-1.2374,42.4155,255.0000,0.0000,0.0000
11.2355,-1.2344,42.3120,255.0000,0.0000,0.0000
11.2891,-1.2314,42.2104,255.0000,0.0000,0.0000
11.3497,-1.2293,42.1364,255.0000,0.0000,0.0000
11.4115,-1.2273,42.0674,255.0000,0.0000,0.0000
11.4374,-1.2215,41.8683,255.0000,0.0000,0.0000
11.4594,-1.2153,41.6578,255.0000,0.0000,0.0000
11.5103,-1.2123,41.5542,255.0000,0.0000,0.0000
11.6097,-1.2144,41.6262,255.0000,0.0000,0.0000
11.6385,-1.2091,41.4458,255.0000,0.0000,0.0000
11.6611,-1.2033,41.2456,255.0000,0.0000,0.0000
9.9529,-1.3165,42.3547,255.0000,0.0000,0.0000
10.0671,-1.3209,42.4954,255.0000,0.0000,0.0000
10.2018,-1.3279,42.7199,255.0000,0.0000,0.0000
10.3062,-1.3308,42.8148,255.0000,0.0000,0.0000
10.3988,-1.3322,42.8594,255.0000,0.0000,0.0000
10.4817,-1.3323,42.8639,255.0000,0.0000,0.0000
10.5573,-1.3316,42.8385,255.0000,0.0000,0.0000
10.6268,-1.3300,42.7890,255.0000,0.0000,0.0000
10.7014,-1.3291,42.7605,255.0000,0.0000,0.0000
10.7751,-1.3281,42.7289,255.0000,0.0000,0.0000
10.8418,-1.3263,42.6702,255.0000,0.0000,0.0000
10.8969,-1.3231,42.5674,255.0000,0.0000,0.0000
10.9521,-1.3200,42.4663,255.0000,0.0000,0.0000
11.0092,-1.3171,42.3739,255.0000,0.0000,0.0000
11.0701,-1.3147,42.2974,255.0000,0.0000,0.0000
11.1333,-1.3127,42.2311,255.0000,0.0000,0.0000
11.1922,-1.3101,42.1492,255.0000,0.0000,0.0000
11.2502,-1.3075,42.0650,255.0000,0.0000,0.0000
11.3108,-1.3052,41.9918,255.0000,0.0000,0.0000
11.3710,-1.3030,41.9183,255.0000,0.0000,0.0000
11.4201,-1.2994,41.8050,255.0000,0.0000,0.0000
11.4691,-1.2959,41.6929,255.0000,0.0000,0.0000
11.5293,-1.2938,41.6229,255.0000,0.0000,0.0000
11.5683,-1.2893,41.4778,255.0000,0.0000,0.0000
11.6206,-1.2863,41.3818,255.0000,0.0000,0.0000
11.6909,-1.2853,41.3510,255.0000,0.0000,0.0000
11.7842,-1.2869,41.4014,255.0000,0.0000,0.0000
11.8315,-1.2834,41.2909,255.0000,0.0000,0.0000
11.8663,-1.2787,41.1382,255.0000,0.0000,0.0000
11.9094,-1.2749,41.0161,255.0000,0.0000,0.0000
11.9822,-1.2743,40.9972,255.0000,0.0000,0.0000
12.1504,-1.2838,41.3027,255.0000,0.0000,0.0000
12.1023,-1.2705,40.8739,255.0000,0.0000,0.0000
9.0546,-1.3960,42.3138,255.0000,0.0000,0.0000
9.1233,-1.3942,42.2578,255.0000,0.0000,0.0000
9.2012,-1.3938,42.2449,255.0000,0.0000,0.0000
9.2751,-1.3928,42.2144,255.0000,0.0000,0.0000
9.3482,-1.3916,42.1807,255.0000,0.0000,0.0000
9.4238,-1.3909,42.1585,255.0000,0.0000,0.0000
9.5016,-1.3905,42.1463,255.0000,0.0000,0.0000
9.5524,-1.3862,42.0159,255.0000,0.0000,0.0000
9.6790,-1.3814,41.8694,255.0000,0.0000,0.0000
9.8098,-1.3886,42.0876,255.0000,0.0000,0.0000
9.9170,-1.3923,42.2019,255.0000,0.0000,0.0000
10.0131,-1.3945,42.2677,255.0000,0.0000,0.0000
10.1113,-1.3969,42.3407,255.0000,0.0000,0.0000
10.2135,-1.3999,42.4297,255.0000,0.0000,0.0000
10.3140,-1.4025,42.5097,255.0000,0.0000,0.0000
10.4100,-1.4045,42.5704,255.0000,0.0000,0.0000
10.4989,-1.4055,42.6014,255.0000,0.0000,0.0000
10.5733,-1.4046,42.5734,255.0000,0.0000,0.0000
10.6449,-1.4033,42.5347,255.0000,0.0000,0.0000
10.7142,-1.4018,42.4875,255.0000,0.0000,0.0000
10.7817,-1.4000,42.4338,255.0000,0.0000,0.0000
10.8489,-1.3982,42.3798,255.0000,0.0000,0.0000
10.9149,-1.3963,42.3221,255.0000,0.0000,0.0000
10.9804,-1.3944,42.2632,255.0000,0.0000,0.0000
11.0461,-1.3925,42.2057,255.0000,0.0000,0.0000
11.1101,-1.3904,42.1430,255.0000,0.0000,0.0000
11.1720,-1.3881,42.0731,255.0000,0.0000,0.0000
11.2332,-1.3857,42.0013,255.0000,0.0000,0.0000
11.2950,-1.3835,41.9332,255.0000,0.0000,0.0000
11.3537,-1.3809,41.8543,255.0000,0.0000,0.0000
11.4137,-1.3785,41.7813,255.0000,0.0000,0.0000
11.4742,-1.3762,41.7114,255.0000,0.0000,0.0000
11.5345,-1.3739,41.6416,255.0000,0.0000,0.0000
11.5950,-1.3716,41.5734,255.0000,0.0000,0.0000
11.6467,-1.3684,41.4748,255.0000,0.0000,0.0000
11.7058,-1.3660,41.4039,255.0000,0.0000,0.0000
11.7891,-1.3665,41.4187,255.0000,0.0000,0.0000
11.8427,-1.3636,41.3297,255.0000,0.0000,0.0000
11.8694,-1.3576,41.1490,255.0000,0.0000,0.0000
11.8915,-1.3512,40.9543,255.0000,0.0000,0.0000
11.9315,-1.3469,40.8235,255.0000,0.0000,0.0000
12.1832,-1.3664,41.4142,255.0000,0.0000,0.0000
12.1330,-1.3520,40.9779,255.0000,0.0000,0.0000
9.0478,-1.4890,42.6628,255.0000,0.0000,0.0000
9.0767,-1.4804,42.4174,255.0000,0.0000,0.0000
9.1294,-1.4759,42.2860,255.0000,0.0000,0.0000
9.1998,-1.4742,42.2389,255.0000,0.0000,0.0000
9.2793,-1.4740,42.2336,255.0000,0.0000,0.0000
9.3602,-1.4741,42.2345,255.0000,0.0000,0.0000
9.4344,-1.4731,42.2059,255.0000,0.0000,0.0000
9.5088,-1.4721,42.1784,255.0000,0.0000,0.0000
9.5782,-1.4704,42.1296,255.0000,0.0000,0.0000
9.6484,-1.4688,42.0850,255.0000,0.0000,0.0000
9.7253,-1.4683,42.0697,255.0000,0.0000,0.0000
9.8037,-1.4680,42.0614,255.0000,0.0000,0.0000
9.8827,-1.4678,42.0561,255.0000,0.0000,0.0000
9.9658,-1.4682,42.0677,255.0000,0.0000,0.0000
10.0563,-1.4697,42.1103,255.0000,0.0000,0.0000
10.1609,-1.4732,42.2110,255.0000,0.0000,0.0000
10.2653,-1.4767,42.3090,255.0000,0.0000,0.0000
10.3669,-1.4796,42.3943,255.0000,0.0000,0.0000
